source_url	parsed_url
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/hi
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/hyperlink-policy
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/scheduled_%26_tribal_areas
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/higher_education
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/press-releases
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/social-media-page
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/schemes
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/textsize/increase
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/terms-condition
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/school-education
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/citizens-charter
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/allocation-business
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/hi/terms-condition-hindi
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/hi/web_information_manager-hindi
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/updates
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/gallery
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/fundamental-duties
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/university-and-higher-education
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/policy_initiatives
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/audios
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/hi/disclaimer-hindi
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/directive_principles_of_state_policy
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/rti_he
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/teacher-education-overview
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/disclaimer
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/hi/screen-reader-access-hindi
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/scheduled_tribal_areas
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/copyright_policy
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/textsize/normal
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/documents_reports
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/overview-secondary-education
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/apex-level-bodies
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/statistics-new
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/feedback
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/directive-principles-of-state-policy
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/webstats-mhrd
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/technology-enabled-learning
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/e-contents
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/accessibility-statement
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/web_information_manager
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/about-mhrd
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/rural_panchayati_raj_%26_urban_municipal_local_bodies
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/overview-ee
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/allocation-business-rules-se
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/node
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/privacy-policy
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/important_days
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/organisation_chart_mhrd
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/hi/related-links-hindi
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/technical-education
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/institutions
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/circulars-orders-notification
http://mhrd.gov.in/web_information_manager	http://mhrd.gov.in/fundamental_duties
http://mhrd.gov.in/help	http://mhrd.gov.in/cp-language
http://mhrd.gov.in/help	http://mhrd.gov.in/advertisments
http://mhrd.gov.in/help	http://mhrd.gov.in/centre-state-relations
http://mhrd.gov.in/help	http://mhrd.gov.in/constitutional-provision
http://mhrd.gov.in/help	http://mhrd.gov.in/hi
http://mhrd.gov.in/help	http://mhrd.gov.in/citizens-charter
http://mhrd.gov.in/help	http://mhrd.gov.in/allocation-business
http://mhrd.gov.in/help	http://mhrd.gov.in/updates
http://mhrd.gov.in/help	http://mhrd.gov.in/university-and-higher-education
http://mhrd.gov.in/help	http://mhrd.gov.in/documents_reports
http://mhrd.gov.in/help	http://mhrd.gov.in/overview-secondary-education
http://mhrd.gov.in/help	http://mhrd.gov.in/directive-principles-of-state-policy
http://mhrd.gov.in/help	http://mhrd.gov.in/overview-ee
http://mhrd.gov.in/help	http://mhrd.gov.in/privacy-policy
http://mhrd.gov.in/help	http://mhrd.gov.in/hi/related-links-hindi
http://mhrd.gov.in/help	http://mhrd.gov.in/acts-higher
http://mhrd.gov.in/help	http://mhrd.gov.in/related-links
http://mhrd.gov.in/help	http://mhrd.gov.in/minister-page
http://mhrd.gov.in/help	http://mhrd.gov.in/screen-reader-access
http://mhrd.gov.in/help	http://mhrd.gov.in/contact-us
http://mhrd.gov.in/help	http://mhrd.gov.in/higher_education
http://mhrd.gov.in/help	http://mhrd.gov.in/textsize/increase
http://mhrd.gov.in/help	http://mhrd.gov.in/gallery
http://mhrd.gov.in/help	http://mhrd.gov.in/audios
http://mhrd.gov.in/help	http://mhrd.gov.in/directive_principles_of_state_policy
http://mhrd.gov.in/help	http://mhrd.gov.in/hi/screen-reader-access-hindi
http://mhrd.gov.in/help	http://mhrd.gov.in/apex-level-bodies
http://mhrd.gov.in/help	http://mhrd.gov.in/technology-enabled-learning
http://mhrd.gov.in/help	http://mhrd.gov.in/web_information_manager
http://mhrd.gov.in/help	http://mhrd.gov.in/about-mhrd
http://mhrd.gov.in/help	http://mhrd.gov.in/organisation_chart_mhrd
http://mhrd.gov.in/help	http://mhrd.gov.in/institutions
http://mhrd.gov.in/help	http://mhrd.gov.in/monthly-achievements
http://mhrd.gov.in/help	http://mhrd.gov.in/sitemap
http://mhrd.gov.in/help	http://mhrd.gov.in/language
http://mhrd.gov.in/help	http://mhrd.gov.in/rural_panchayati_raj_urban_municipal_local_bodies
http://mhrd.gov.in/help	http://mhrd.gov.in/help
http://mhrd.gov.in/help	http://mhrd.gov.in/tenders
http://mhrd.gov.in/help	http://mhrd.gov.in/scheduled_%26_tribal_areas
http://mhrd.gov.in/help	http://mhrd.gov.in/press-releases
http://mhrd.gov.in/help	http://mhrd.gov.in/social-media-page
http://mhrd.gov.in/help	http://mhrd.gov.in/schemes
http://mhrd.gov.in/help	http://mhrd.gov.in/terms-condition
http://mhrd.gov.in/help	http://mhrd.gov.in/speech-recognition-support
http://mhrd.gov.in/help	http://mhrd.gov.in/school-education
http://mhrd.gov.in/help	http://mhrd.gov.in/accessibility-features
http://mhrd.gov.in/help	http://mhrd.gov.in/policy_initiatives
http://mhrd.gov.in/help	http://mhrd.gov.in/hi/disclaimer-hindi
http://mhrd.gov.in/help	http://mhrd.gov.in/disclaimer
http://mhrd.gov.in/help	http://mhrd.gov.in/teacher-education-overview
http://mhrd.gov.in/help	http://mhrd.gov.in/scheduled_tribal_areas
http://mhrd.gov.in/help	http://mhrd.gov.in/copyright_policy
http://mhrd.gov.in/help	http://mhrd.gov.in/textsize/normal
http://mhrd.gov.in/help	http://mhrd.gov.in/
http://mhrd.gov.in/help	http://mhrd.gov.in/webstats-mhrd
http://mhrd.gov.in/help	http://mhrd.gov.in/e-contents
http://mhrd.gov.in/help	http://mhrd.gov.in/rural_panchayati_raj_%26_urban_municipal_local_bodies
http://mhrd.gov.in/help	http://mhrd.gov.in/allocation-business-rules-se
http://mhrd.gov.in/help	http://mhrd.gov.in/important_days
http://mhrd.gov.in/help	http://mhrd.gov.in/circulars-orders-notification
http://mhrd.gov.in/help	http://mhrd.gov.in/fundamental_duties
http://mhrd.gov.in/help	http://mhrd.gov.in/whos-who
http://mhrd.gov.in/help	http://mhrd.gov.in/textsize/decrease
http://mhrd.gov.in/help	http://mhrd.gov.in/allocation_business_rules_se
http://mhrd.gov.in/help	http://mhrd.gov.in/hi/help-hindi
http://mhrd.gov.in/help	http://mhrd.gov.in/important-days
http://mhrd.gov.in/help	http://mhrd.gov.in/centre-state_relations
http://mhrd.gov.in/help	http://mhrd.gov.in/cabe
http://mhrd.gov.in/help	http://mhrd.gov.in/hyperlink-policy
http://mhrd.gov.in/help	http://mhrd.gov.in/hi/web_information_manager-hindi
http://mhrd.gov.in/help	http://mhrd.gov.in/fundamental-duties
http://mhrd.gov.in/help	http://mhrd.gov.in/rti_he
http://mhrd.gov.in/help	http://mhrd.gov.in/hi/terms-condition-hindi
http://mhrd.gov.in/help	http://mhrd.gov.in/feedback
http://mhrd.gov.in/help	http://mhrd.gov.in/statistics-new
http://mhrd.gov.in/help	http://mhrd.gov.in/accessibility-statement
http://mhrd.gov.in/help	http://mhrd.gov.in/node
http://mhrd.gov.in/help	http://mhrd.gov.in/technical-education
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/cp-language
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/advertisments
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/centre-state-relations
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/constitutional-provision
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/hi
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/citizens-charter
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/allocation-business
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/updates
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/university-and-higher-education
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/documents_reports
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/overview-secondary-education
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/directive-principles-of-state-policy
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/overview-ee
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/privacy-policy
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/hi/related-links-hindi
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/acts-higher
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/related-links
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/minister-page
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/screen-reader-access
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/contact-us
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/higher_education
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/textsize/increase
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/gallery
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/audios
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/directive_principles_of_state_policy
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/hi/screen-reader-access-hindi
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/apex-level-bodies
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/technology-enabled-learning
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/web_information_manager
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/about-mhrd
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/organisation_chart_mhrd
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/institutions
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/monthly-achievements
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/sitemap
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/language
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/rural_panchayati_raj_urban_municipal_local_bodies
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/help
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/tenders
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/scheduled_%26_tribal_areas
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/press-releases
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/social-media-page
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/schemes
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/terms-condition
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/speech-recognition-support
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/school-education
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/accessibility-features
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/policy_initiatives
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/hi/disclaimer-hindi
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/disclaimer
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/teacher-education-overview
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/scheduled_tribal_areas
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/copyright_policy
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/textsize/normal
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/webstats-mhrd
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/e-contents
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/rural_panchayati_raj_%26_urban_municipal_local_bodies
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/allocation-business-rules-se
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/important_days
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/circulars-orders-notification
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/fundamental_duties
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/hi/hyperlink-policy-hindi
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/whos-who
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/textsize/decrease
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/allocation_business_rules_se
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/hi/help-hindi
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/important-days
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/centre-state_relations
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/cabe
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/hyperlink-policy
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/hi/web_information_manager-hindi
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/fundamental-duties
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/rti_he
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/hi/terms-condition-hindi
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/feedback
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/statistics-new
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/accessibility-statement
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/node
http://mhrd.gov.in/hyperlink-policy	http://mhrd.gov.in/technical-education
http://mhrd.gov.in/feedback	http://mhrd.gov.in/cp-language
http://mhrd.gov.in/feedback	http://mhrd.gov.in/advertisments
http://mhrd.gov.in/feedback	http://mhrd.gov.in/centre-state-relations
http://mhrd.gov.in/feedback	http://mhrd.gov.in/constitutional-provision
http://mhrd.gov.in/feedback	http://mhrd.gov.in/hi
http://mhrd.gov.in/feedback	http://mhrd.gov.in/citizens-charter
http://mhrd.gov.in/feedback	http://mhrd.gov.in/allocation-business
http://mhrd.gov.in/feedback	http://mhrd.gov.in/updates
http://mhrd.gov.in/feedback	http://mhrd.gov.in/hi/feedback-hi
http://mhrd.gov.in/feedback	http://mhrd.gov.in/university-and-higher-education
http://mhrd.gov.in/feedback	http://mhrd.gov.in/documents_reports
http://mhrd.gov.in/feedback	http://mhrd.gov.in/overview-secondary-education
http://mhrd.gov.in/feedback	http://mhrd.gov.in/directive-principles-of-state-policy
http://mhrd.gov.in/feedback	http://mhrd.gov.in/overview-ee
http://mhrd.gov.in/feedback	http://mhrd.gov.in/privacy-policy
http://mhrd.gov.in/feedback	http://mhrd.gov.in/hi/related-links-hindi
http://mhrd.gov.in/feedback	http://mhrd.gov.in/acts-higher
http://mhrd.gov.in/feedback	http://mhrd.gov.in/related-links
http://mhrd.gov.in/feedback	http://mhrd.gov.in/minister-page
http://mhrd.gov.in/feedback	http://mhrd.gov.in/screen-reader-access
http://mhrd.gov.in/feedback	http://mhrd.gov.in/contact-us
http://mhrd.gov.in/feedback	http://mhrd.gov.in/higher_education
http://mhrd.gov.in/feedback	http://mhrd.gov.in/textsize/increase
http://mhrd.gov.in/feedback	http://mhrd.gov.in/gallery
http://mhrd.gov.in/feedback	http://mhrd.gov.in/audios
http://mhrd.gov.in/feedback	http://mhrd.gov.in/directive_principles_of_state_policy
http://mhrd.gov.in/feedback	http://mhrd.gov.in/hi/screen-reader-access-hindi
http://mhrd.gov.in/feedback	http://mhrd.gov.in/apex-level-bodies
http://mhrd.gov.in/feedback	http://mhrd.gov.in/technology-enabled-learning
http://mhrd.gov.in/feedback	http://mhrd.gov.in/web_information_manager
http://mhrd.gov.in/feedback	http://mhrd.gov.in/about-mhrd
http://mhrd.gov.in/feedback	http://mhrd.gov.in/organisation_chart_mhrd
http://mhrd.gov.in/feedback	http://mhrd.gov.in/institutions
http://mhrd.gov.in/feedback	http://mhrd.gov.in/monthly-achievements
http://mhrd.gov.in/feedback	http://mhrd.gov.in/sitemap
http://mhrd.gov.in/feedback	http://mhrd.gov.in/language
http://mhrd.gov.in/feedback	http://mhrd.gov.in/rural_panchayati_raj_urban_municipal_local_bodies
http://mhrd.gov.in/feedback	http://mhrd.gov.in/help
http://mhrd.gov.in/feedback	http://mhrd.gov.in/tenders
http://mhrd.gov.in/feedback	http://mhrd.gov.in/scheduled_%26_tribal_areas
http://mhrd.gov.in/feedback	http://mhrd.gov.in/press-releases
http://mhrd.gov.in/feedback	http://mhrd.gov.in/social-media-page
http://mhrd.gov.in/feedback	http://mhrd.gov.in/schemes
http://mhrd.gov.in/feedback	http://mhrd.gov.in/terms-condition
http://mhrd.gov.in/feedback	http://mhrd.gov.in/speech-recognition-support
http://mhrd.gov.in/feedback	http://mhrd.gov.in/school-education
http://mhrd.gov.in/feedback	http://mhrd.gov.in/accessibility-features
http://mhrd.gov.in/feedback	http://mhrd.gov.in/policy_initiatives
http://mhrd.gov.in/feedback	http://mhrd.gov.in/hi/disclaimer-hindi
